Num_Features,Sample_Size,Train_Preprocessing_Time_sec,Model_Train_Time_sec,Test_Inference_Time_sec,Accuracy,Precision,Recall,F1_Score,TN,FP,FN,TP
5,1279463,0.42165684700012207,0.6963295936584473,0.005079507827758789,0.7241776836412094,0.6556829590488772,0.9581567019543346,0.7785742744473063,61224,65162,5419,124088
6,1279463,0.47443103790283203,1.3140661716461182,0.006077766418457031,0.7691730527994123,0.6965028956559581,0.9639401731180554,0.8086843017286334,71989,54397,4670,124837
7,1279463,0.4734065532684326,2.208263635635376,0.006001949310302734,0.7671175061451466,0.6943264698034333,0.9644343548997352,0.8073886132613649,71399,54987,4606,124901
8,1279463,0.5496983528137207,3.5128209590911865,0.0060002803802490234,0.7697826826056203,0.6969292911259638,0.9645733435258326,0.8091945237069593,72063,54323,4588,124919
9,1279463,0.5023088455200195,3.9453787803649902,0.006999969482421875,0.8286627613885491,0.781310547298318,0.9185603866972442,0.8443945997359493,93089,33297,10547,118960
10,1279463,0.5659029483795166,9.518234729766846,0.0070002079010009766,0.8344229814805407,0.7834110675279226,0.9299342892662172,0.8504074340832379,93090,33296,9074,120433
11,1279463,0.549811840057373,17.586311101913452,0.00805974006652832,0.8503397904592935,0.804671111526796,0.9300501131212985,0.8628296554713049,97148,29238,9059,120448
12,1279463,0.6290724277496338,12.034576177597046,0.01412057876586914,0.9210724795129214,0.8739292849128376,0.9863327851004193,0.9267351299193604,107959,18427,1770,127737
13,1279463,0.7908377647399902,12.606279134750366,0.008736610412597656,0.9207324936594592,0.8736597948724967,0.9859544271738208,0.926416600159617,107921,18465,1819,127688
14,1279463,0.6225125789642334,13.462127208709717,0.008997917175292969,0.921697740852622,0.8747278627469774,0.9865721544009204,0.9272896836772834,108088,18298,1739,127768
15,1279463,0.7022769451141357,21.450095176696777,0.008998632431030273,0.9205331916074296,0.8730131613114843,0.9864717737265167,0.9262810636408129,107803,18583,1752,127755
16,1279463,0.7177600860595703,16.77299737930298,0.009997129440307617,0.9204120472228626,0.872767140505352,0.9865644328105817,0.9261833997825298,107760,18626,1740,127767
17,1279463,0.765474796295166,25.781107664108276,0.009076118469238281,0.9210802952796677,0.8740128922769513,0.9862246828356769,0.9267344117892475,107975,18411,1784,127723
18,1279463,0.76833176612854,20.77889060974121,0.01007699966430664,0.9210763873962945,0.8739915560999308,0.986247847606693,0.9267326445321569,107971,18415,1781,127726
19,1279463,0.7566530704498291,25.8279025554657,0.009999275207519531,0.9161837174131375,0.8664781013233489,0.9863868362327906,0.9225525031054107,106701,19685,1763,127744
20,1279463,0.7744107246398926,25.20041251182556,0.011053085327148438,0.9163048617977045,0.8665658319542039,0.9865335464492266,0.9226663970564339,106713,19673,1744,127763
21,1279463,0.8478915691375732,26.524789571762085,0.011000871658325195,0.9159687838276155,0.8660805076128367,0.9865026600878717,0.9223777258763776,106631,19755,1748,127759
22,1279463,0.9111840724945068,26.817123413085938,0.012060165405273438,0.9160274020782124,0.8659651310127997,0.9868192452917602,0.9224506294029333,106605,19781,1707,127800
23,1279463,0.9378550052642822,27.798288583755493,0.013053417205810547,0.9166135845841816,0.8665925589529122,0.9872130463990364,0.9229786312445857,106704,19682,1656,127851
24,1279463,0.9541592597961426,28.31502890586853,0.012999773025512695,0.9196265626648639,0.8710288267669337,0.9873906429768275,0.9255668349528617,107452,18934,1633,127874
25,1279463,1.001136302947998,29.903175592422485,0.013119935989379883,0.9177976732462396,0.86901262791204,0.9862324044260156,0.9239193729813406,107134,19252,1783,127724
26,1279463,1.0165619850158691,29.65468740463257,0.013188838958740234,0.918082948732478,0.8692685050995761,0.9865026600878717,0.9241825810185185,107172,19214,1748,127759
27,1279463,1.044288158416748,30.622256755828857,0.013997316360473633,0.9172505695740016,0.8680955746439056,0.986371393052113,0.9234617344817988,106976,19410,1765,127742
28,1279463,1.0673003196716309,31.101550102233887,0.015001296997070312,0.9170668990554646,0.8671399800638769,0.9874215293381825,0.9233801962610748,106793,19593,1629,127878
29,1279463,1.079573631286621,31.39559578895569,0.015065908432006836,0.9171880434400316,0.8673870867081824,0.9873211486637788,0.9234763705172234,106837,19549,1642,127865
30,1279463,1.1268997192382812,32.107592821121216,0.014995813369750977,0.921303044631936,0.8737654384274163,0.9871126657246326,0.9269870274895401,107917,18469,1669,127838
31,1279463,1.1368682384490967,31.937811136245728,0.016000032424926758,0.9226004619118147,0.8758917496453561,0.9869041827854865,0.9280900997719913,108276,18110,1696,127811
32,1279463,1.2082388401031494,32.45283842086792,0.01900196075439453,0.9224206992766508,0.8753585683282329,0.9872902623024238,0.9279612735599148,108180,18206,1646,127861
33,1279463,1.2091870307922363,34.18756294250488,0.015058040618896484,0.9219165823215172,0.8740744282630672,0.9880624213362984,0.9275796203738271,107951,18435,1546,127961
34,1279463,1.232701063156128,34.05988335609436,0.017150163650512695,0.9226200013286804,0.8752428512792447,0.987923432710201,0.9281757935629897,108149,18237,1564,127943
35,1279463,1.2584497928619385,34.643903493881226,0.01699995994567871,0.9222096735745019,0.8745224540564922,0.9880624213362984,0.927831837231898,108026,18360,1546,127961
